Lokacija,St_Ponudb
Videm,6
Videm pri ptuju,1
Vipava,147
Vir,16
Visoko,2
Vitanje,64
Vič,26
Višnja gora,79
Vnanje gorice,1
Vodice,125
Vojnik,339
Voklo,38
Volčja draga,400
Volčji potok,7
Vransko,129
Vremski britof,14
Vrhnika,1883
Vrhovci,3
Vrhpolje,11
Vrhpolje pri kamniku,14
Vrtojba,155
Vuhred,3
Vukovski dol,1
Vuzenica,104
Zadobrova,7
Zagorje,100
Zagorje ob savi,192
Zagradec,26
Zalog,10
Zapuže,2
Zasavska regija,59
Začret,1
Zbilje,46
Zda,37
Zdole,1
Zgornja besnica,5
Zgornja kungota,5
Zgornja luša,1
Zgornja polskava,42
Zgornja velka,2
Zgornje bitnje,4
Zgornje gorje,12
Zgornje jarše,16
Zgornje jezersko,13
Zgornje laže,1
Zgornje negonje,4
Zgornje pirniče,7
Zgornji brnik,62
Zgornji duplek,2
Zgoša,21
Zidani most,10
Zreče,1504
Čatež,38
Čatež ob savi,30
Čepovan,7
Černelavci,16
Češka,4
Črenšovci,7
Črešnjevci,12
Črna gora,40
Črna na koroškem,147
Črni kal,75
Črni vrh,12
Črnivec,1
Črniče,8
Črnomelj,1057
Črnotiče,6
Šalovci,1
Šempas,24
Šempeter pri gorici,1246
Šempeter v savinjski dolini,15
Šentilj v slovenskih goricah,88
Šentjanž pri dravogradu,49
Šentjernej,411
Šentjur,376
Šentrupert,40
Šentvid pri stični,147
Šenčur,1122
Šepulje,12
Šikole,1
Škocjan,43
Škofja loka,4593
Škofja vas,43
Škofljica,465
Šmarje,11
Šmarje pri jelšah,320
Šmarjeta,5
Šmarješke toplice,200
Šmartno ob paki,115
Šmartno pri litiji,294
Šmartno pri slovenj gradcu,196
Šoštanj,212
Španija,6
Štanjel,7
Štore,420
Štorje,3
Švedska,16
Švica,378
Žabja vas,9
Žabjek,3
Žabnica,60
Žalec,1756
Žeje pri komendi,129
Železniki,443
Žerjav,20
Žetale,1
Žihlava,1
Žiri,482
Žirovnica,101
Žižki,1
Žlebič,3
Žužemberk,111
